Country,Country Abrv.,State,State Abrv.,City
United States,US,Arizona,AZ,Phoenix
United States,US,Arizona,AZ,Tucson
United States,US,California,CA,Sacramento
United States,US,California,CA,San Francisco
United States,US,California,CA,San Jose
United States,US,California,CA,Los Angeles
United States,US,California,CA,San Diego
United States,US,Colorado,CO,Denver
United States,US,District of Columbia,D.C.,Washington
United States,US,Florida,FL,Miami
United States,US,Florida,FL,Tampa
United States,US,Florida,FL,Orlando
United States,US,Florida,FL,Jacksonville
United States,US,Georgia,GA,Atlanta
United States,US,Idaho,ID,Boise
United States,US,Illinois,IL,Chicago
United States,US,Louisiana,LA,New Orleans
United States,US,Maryland,MD,Baltimore
United States,US,Massachusetts,MA,Boston
United States,US,Minnesota,MN,Minneapolis
United States,US,Nevada,NV,Las Vegas
United States,US,New York,NY,New York
United States,US,North Carolina,NC,Raleigh
United States,US,North Carolina,NC,Charlotte
United States,US,Ohio,OH,Columbus
United States,US,Ohio,OH,Cincinnati
United States,US,Ohio,OH,Cleveland
United States,US,Oregon,OR,Portland
United States,US,Tennessee,TN,Nashville
United States,US,Texas,TX,Houston
United States,US,Texas,TX,San Antonio
United States,US,Texas,TX,Dallas
United States,US,Texas,TX,Austin
United States,US,Utah,UT,Salt Lake City
United States,US,Washington,WA,Seattle
United States,US,Wisconsin,WI,Madison
